车型,版本,指导价(万元),厂商,级别,能源类型,发动机,最大功率(kW),最大扭矩(N·m),变速箱,最高车速(km/h),官方0-100km/h加速(s),长*宽*高(mm),轴距(mm),整备质量(kg),后备厢容积(L),主要配置,座椅材质,天窗类型,驾驶辅助,中控屏幕尺寸(英寸),音响系统,适用场景,推荐人群,亮点标签
红旗H6,2026款 2.0T 致远版,19.98,一汽红旗,中型车,汽油,2.0T 252马力 L4,185,380,8AT,230,7.8,4990*1880*1455,2920,1665,592,"12.6英寸中控屏、丹拿音响、车道居中保持、亿连手机互联",仿皮,电动天窗,"L2级驾驶辅助、540度全景影像、车道居中保持",12.6,"8喇叭丹拿音响","年轻运动、个性出行","年轻消费者、运动风格爱好者","掀背轿跑、6.8秒零百加速"
红旗H6,2026款 2.0T 至臻版,23.98,一汽红旗,中型车,汽油,2.0T 252马力 L4,185,380,8AT,230,7.8,4990*1880*1455,2920,1665,592,"12.6英寸中控屏、12喇叭丹拿音响、皮/Alcantara混搭座椅、亿连手机互联、掀背尾门","真皮/Alcantara混搭",电动天窗,"L2级驾驶辅助、540度全景影像、车道居中保持",12.6,"12喇叭丹拿音响","年轻运动、个性出行","年轻消费者、运动风格爱好者","B+级掀背轿跑、6.8秒零百加速、高功率2.0T+8AT"
红旗金葵花国耀,2026款 4.0T 典雅旗舰版 6座,156.00,一汽红旗,大型SUV,汽油,4.0T 558马力 V8,410,725,8AT,200,6.1,5695*2095*2010,3309,3180,600-1800,"双12.3英寸联屏、后排双12.8英寸折叠屏、9气囊、253色氛围灯",真皮,无,"全速自适应巡航、车道偏离预警、主动刹车、前后方碰撞预警、并线辅助、疲劳驾驶提醒、开门预警、道路交通标识识别、防侧翻系统",15.6,"14喇叭","顶级商务、高端接待","企业主、高端用户","全尺寸豪华SUV、4.0T V8、国产超豪华"
红旗金葵花国耀,2026款 4.0T 尊爵旗舰版 4座,166.00,一汽红旗,大型SUV,汽油,4.0T 558马力 V8,410,725,8AT,200,6.1,5695*2095*2010,3309,3180,600-1800,"双12.3英寸联屏、后排双12.8英寸折叠屏、9气囊、253色氛围灯、电动后备厢",真皮,无,"全速自适应巡航、车道偏离预警、主动刹车、前后方碰撞预警、并线辅助、疲劳驾驶提醒、开门预警、道路交通标识识别、防侧翻系统",15.6,"14喇叭","顶级商务、高端接待","企业主、高端用户","全尺寸豪华SUV、4.0T V8、国产超豪华、四座旗舰"
红旗HQ9,2024款 2.0T 豪华版,43.88,一汽红旗,中大型MPV,汽油+48V轻混,2.0T 252马力 L4,185,380,8AT,200,9.2,5222*2005*1935,3200,2320,620,"16.2英寸中控屏、丹拿音响、真皮座椅",真皮,不可开启全景天窗,"全速自适应巡航、360度全景影像",16.2,"12喇叭丹拿音响","商务接待、多人出行","企业用户、多孩家庭","中大型MPV、48V轻混、7座布局"
红旗HQ9,2024款 2.0T 豪华版福祉版,47.88,一汽红旗,中大型MPV,汽油+48V轻混,2.0T 252马力 L4,185,380,8AT,200,9.2,5222*2005*1935,3200,2320,620,"16.2英寸中控屏、12喇叭丹拿音响、真皮座椅、福祉座椅（可旋转升降）",真皮,不可开启全景天窗,"全速自适应巡航、360度全景影像",16.2,"12喇叭丹拿音响","商务接待、多人出行、无障碍出行","企业用户、多孩家庭、行动不便人士","中大型MPV、48V轻混、福祉版专属配置"
红旗E-HS9,2025款 660km旗领版 四座,77.98,一汽红旗,大型SUV,纯电动,"前置+后置双电机",405,750,单速变速箱,200,5.0,5209*2010*1713,3110,2712,580-1410,"真皮座椅、全景天窗",真皮,可开启全景天窗,"L2级驾驶辅助、全速自适应巡航、360度全景影像、高速导航驾驶辅助、自动泊车入位、车道居中保持、自动变道辅助",16.2,无,"高端商务、纯电出行","高端用户、纯电豪华追求者","大型纯电SUV、660km续航、四座旗舰"
红旗E-HS9,2025款 660km旗畅版 六座,68.98,一汽红旗,大型SUV,纯电动,"前置+后置双电机",405,750,单速变速箱,200,5.0,5209*2010*1713,3110,2702,580-1410,"16.2英寸中控屏、真皮/仿皮座椅、全景天窗",仿皮,可开启全景天窗,"L2级驾驶辅助、全速自适应巡航、360度全景影像",16.2,"12喇叭","高端商务、纯电出行","高端用户、纯电豪华追求者","大型纯电SUV、660km续航、双电机四驱、5秒零百加速"
红旗HS3,2025款 1.5T 善为版,15.98,一汽红旗,紧凑型SUV,汽油,1.5T 169马力 L4,124,258,7挡湿式双离合,195,9.9,4655*1900*1668,2770,1660,436-1484,"12.6英寸中控屏、全景天窗",仿皮,可开启全景天窗,"L2级辅助驾驶、540度透明底盘、360度全景影像",12.6,"6喇叭","年轻家庭、城市通勤","首购年轻人、预算有限用户","紧凑型SUV、入门豪华"
红旗HS3,2025款 1.5T 志为版,14.98,一汽红旗,紧凑型SUV,汽油,1.5T 169马力 L4,124,258,7挡湿式双离合,195,9.9,4655*1900*1668,2770,1660,436-1484,"12.6英寸中控屏、可开启全景天窗",仿皮,可开启全景天窗,"基础驾驶辅助（倒车影像、定速巡航等）",12.6,"4喇叭","年轻家庭、城市通勤","首购年轻人、预算有限用户","紧凑型SUV、入门豪华、高性价比"
